Coach,NFL,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,2020school,logopath
Al Golden,0,0,0,0,0,0,215.49,256.08,249.66,268.93,198.68,141.31,82.03,128.86,131.64,77.53,0,0,0,0,0,0,#N/A,
Al Groh,1,0,0,0,0,0,0,0,0,0,0,0,210.97,158.94,207.49,111.11,211.72,160.63,220.34,235.48,28.71,0,#N/A,
Andy McCollum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.75,99.28,97.77,124.79,23.82,0,#N/A,
Art Briles,0,0,0,0,0,0,195.88,218.13,209.23,222.62,169.94,206.15,183.32,157.42,137.41,101.62,102.37,93.19,125.88,0,0,0,#N/A,
Barry Alvarez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.47,162.48,170.37,129.47,56.14,27.03,#N/A,
Barry Odom,0,0,202.13,197.38,187.71,188.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bill Blankenship,0,0,0,0,0,0,0,130.3,138.11,120.37,113.38,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bill Callahan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,218.45,207.2,247.47,188,0,0,0,0,#N/A,
Bill Clark,0,142.57,160.48,125.49,115.95,0,0,96.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UAB,
Bill Cubit,0,0,0,0,0,0,181.74,0,0,120.13,94.12,146.63,123.17,116.96,88.37,93.25,95.69,0,0,0,0,0,#N/A,
Bill Curry,0,0,0,0,0,0,0,0,0,28.35,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bill Doba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.05,161.64,162.68,191.68,133.59,0,0,0,#N/A,
Bill Lynch,0,0,0,0,0,0,0,0,0,0,0,164.39,163.75,145.51,123.89,0,0,0,0,0,0,0,#N/A,
Bill O'Brien,1,0,0,0,0,0,0,0,195.7,192.63,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bill Snyder,0,0,0,175.65,169.37,155.49,175.02,178.29,158.71,139.67,161.75,164.45,160.93,0,0,0,177.71,208.77,167.35,216.77,80.08,27.63,#N/A,
Bill Stewart,0,0,0,0,0,0,0,0,0,0,0,211.69,225.23,169.81,0,0,0,0,0,0,0,0,#N/A,
Billy Napier,0,158.34,158.45,124.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Louisiana,
Blake Anderson,0,148.75,143.36,148.03,114.91,132.18,131.45,111.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arkansas State,
Bo Pelini,0,0,0,0,0,0,0,200.24,220.72,213.77,245.6,219.7,201.57,215.29,0,0,0,0,0,0,0,0,#N/A,
Bob Davie,0,0,126.28,110.31,109.85,141.76,110.03,112.56,122.45,113.27,0,0,0,0,0,0,0,0,0,0,108.06,106.88,#N/A,
Bob DeBesse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bob Diaco,0,0,0,0,0,126.83,120.89,98.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bob Pruett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.43,82.05,60.25,0,0,#N/A,
Bob Simmons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.18,#N/A,
Bob Stoops,0,0,0,0,0,238.73,249.69,248.94,241.93,255.08,256.79,283.58,262.78,284.83,220.6,262.96,279.2,261.38,247.77,273.53,155.82,28.69,#N/A,
Bob Toledo,0,0,0,0,0,0,0,0,0,0,110.8,145.27,150.56,97.06,85.4,0,0,0,0,258.06,106.91,81.61,#N/A,
Bobby Bowden,0,0,0,0,0,0,0,0,0,0,0,0,259.63,259.98,216.82,286.53,281.52,292.97,203.95,303.14,256.86,225.16,#N/A,
Bobby Hauck,0,0,0,0,0,0,0,91.15,117.06,106.3,53.88,136.45,0,0,0,0,0,0,0,0,0,0,#N/A,
Bobby Johnson,0,0,0,0,0,0,0,0,0,0,0,0,169.67,130.16,128.26,150.75,88.91,101.95,116.07,95.67,0,0,#N/A,
Bobby Keasler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bobby Petrino,1,0,0,213.58,205.15,196.02,201.4,183.64,120.24,0,226.22,203.21,232.93,214.9,0,201.32,176.69,109.8,137.31,0,0,0,#N/A,
Bobby Ross,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.48,8.82,30.13,0,0,0,0,#N/A,
Bobby Wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,90.32,120.41,78.82,0,0,#N/A,
Bobby Wilder,0,0,128.31,108.27,99.41,106.63,115.65,136.07,87.47,40.57,8.32,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bobby Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.39,26.51,136.95,#N/A,
Brad Lambert,0,0,0,120.43,111.82,106.83,86.91,89.2,100.75,19.34,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Brad Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Brady Hoke,0,142.57,0,0,0,0,0,233.54,288.74,281.12,205.16,165.98,131.67,85.39,110.69,96.34,70.61,76.9,68.5,0,0,0,San Diego State,
Brent Brennan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,San Jose State,
Brent Guy,0,0,0,0,0,0,0,0,0,0,0,0,0,76.17,75.98,40.78,41.79,0,0,0,0,0,#N/A,
Bret Bielema,0,0,0,0,212.74,219.34,222.51,215.5,216.6,160.75,174.08,194.33,199.62,192.63,197.94,177.1,0,0,0,0,0,0,#N/A,
Brian Kelly,0,251.45,258.56,268.86,251.32,249.43,267.79,260.44,284.77,248.21,271.38,241.92,176.05,90.28,111.09,62.5,64.54,72.4,0,0,0,0,Notre Dame,
Brian Knorr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.84,66.15,13.29,0,0,#N/A,
Brian Polian,0,0,0,0,0,118.76,122.5,126.15,124.94,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Brian VanGorder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Bronco Mendenhall,0,185.57,200.89,178.6,172.5,164.95,165.06,161.71,152.55,148.63,143.97,211.56,181.77,176.15,168.65,128.22,123.25,0,0,0,0,0,Virginia,
Bruce Snyder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.19,#N/A,
Bryan Harsin,0,167.92,189.93,183.46,167.43,160.66,171.68,163.09,113.75,0,0,0,0,0,0,0,0,0,0,0,0,0,Boise State,
Buddy Teevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.28,179.93,175.79,0,0,#N/A,
Butch Davis,1,162.27,152.57,173.58,137.75,0,0,0,0,0,0,224.64,258.85,205.05,244.08,0,0,0,0,0,0,161.25,Florida International,
Butch Jones,0,0,0,0,237.21,253.94,286.26,274.77,214.06,185.26,168.77,184.21,154.04,100.63,80.68,0,0,0,0,0,0,0,#N/A,
Cam Cameron,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.27,#N/A,
Carl Franks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.65,106.65,0,0,#N/A,
Carl Pelini,0,0,0,0,0,0,0,0,119.58,125.72,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Carl Torbush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Chad Lunsford,0,145.22,125.24,146.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Georgia Southern,
Chad Morris,0,0,237.17,192.11,140.4,152.27,142.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Chan Gailey,1,0,0,0,0,0,0,0,0,0,0,0,0,0,225.49,138.67,114.18,141.96,159.66,136.09,0,0,#N/A,
Charley Molnar,0,0,0,0,0,0,0,0,112.55,19.91,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Charlie Partridge,0,0,0,0,0,132.74,146.02,111.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Charlie Strong,0,0,158.44,176.25,150.65,280.66,272.49,239.85,194.03,194.36,208.34,197.18,0,0,0,0,0,0,0,0,0,0,#N/A,
Charlie Weatherbie,0,0,0,0,0,0,0,0,0,0,0,0,116.77,116.95,69.54,69.77,55.67,76.25,77.6,0,0,0,#N/A,
Charlie Weis,0,0,0,0,0,0,0,177.14,180.28,128.07,0,0,246.29,295.57,274.05,282.8,166.05,0,0,0,0,0,#N/A,
Chip Kelly,1,208.42,199.61,237.77,0,0,0,0,0,251.25,257.09,250.88,212.76,0,0,0,0,0,0,0,0,0,UCLA,
Chip Lindsey,0,154.47,157.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Troy,
Chris Ash,0,0,174.33,184.28,189.01,163.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Chris Ault,0,0,0,0,0,0,0,0,0,135.19,50.28,144.64,120.06,113.23,89.62,86.13,83.33,81.94,0,0,0,0,#N/A,
Chris Creighton,0,136.77,124.99,121.54,100.97,102.89,110.15,84.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eastern Michigan,
Chris Hatcher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Chris Klieman,0,182.46,177.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kansas State,
Chris Petersen,0,0,259.19,253.23,224.74,209.87,215.83,198.52,173.51,169.1,159.98,115.97,161.31,118.14,149.94,106.05,0,0,0,0,0,0,#N/A,
Chris Scelfo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.71,82.95,111.61,126.36,108.31,0,0,#N/A,
Chris Tormey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.84,93.48,0,0,#N/A,
Chuck Amato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.92,153.2,185.1,192.52,143.32,27.39,0,#N/A,
Chuck Long,0,0,0,0,0,0,0,0,0,0,0,0,0,123.85,135.97,119.38,0,0,0,0,0,0,#N/A,
Chuck Martin,0,150.61,151.13,103.16,126.73,129.79,150.48,84.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Miami (OH),
Clay Helton,0,181.01,243.51,291.2,297.1,273.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USC,
Craig Bohl,0,138.13,140.75,109.14,122.05,109.65,114.32,80.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wyoming,
Craig Cirbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Curtis Johnson,0,0,0,0,0,0,128.9,118.86,133.37,124.65,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
D.J. Durkin,0,0,0,218.34,230.17,190.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Dabo Swinney,0,309.73,275.55,283.67,238.91,271.16,277.98,240.73,249.66,241.73,269.69,218.08,207.86,271.35,0,0,0,0,0,0,0,0,Clemson,
Dan Enos,0,0,0,0,0,0,0,91.2,108.05,120.28,75.64,127.67,0,0,0,0,0,0,0,0,0,0,#N/A,
Dan Hawkins,0,0,0,0,0,0,0,0,0,0,0,183.91,188.77,236.08,207.66,155.35,122.57,94.26,71.83,76.83,0,0,#N/A,
Dan McCarney,0,0,0,0,0,0,126.6,105,93.6,108.78,55.16,0,0,0,0,164.57,151.53,143.53,127.9,166.21,0,0,#N/A,
Dan Mullen,0,272.99,276.85,259.56,220.22,211.11,237.46,199.92,214.76,227.14,178.1,212.47,233.49,0,0,0,0,0,0,0,0,0,Florida,
Dana Dimel,0,114.47,131.98,105.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.33,0,0,UTEP,
Dana Holgorsen,0,155.32,165.39,208.32,174.68,194.45,198.02,194.85,201.03,206.7,160.31,0,0,0,0,0,0,0,0,0,0,0,Houston,
Danny Gonzales,0,142.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New Mexico,
Danny Hope,0,0,0,0,0,0,0,0,0,188.27,129.88,186.34,160.65,0,0,0,0,0,0,0,0,0,#N/A,
Danny Rocco,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Darrell Dickey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.55,72.06,85.46,94.48,26.46,0,0,#N/A,
Darrell Hazell,0,0,0,0,0,145.09,162.85,156.02,162.05,105.08,45.57,0,0,0,0,0,0,0,0,0,0,0,#N/A,
Darrin Chiaverini,0,203.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Colorado,
Dave Aranda,0,181.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baylor,
