Coach,School,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Bill Clark,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png,142.57,160.48,125.49,115.95,0,0,96.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billy Napier,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,158.34,158.45,124.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blake Anderson,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,148.75,143.36,148.03,114.91,132.18,131.45,111.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brady Hoke,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png,142.57,0,0,0,0,0,233.54,288.74,281.12,205.16,165.98,131.67,85.39,110.69,96.34,70.61,76.9,68.5,0,0,0
Brian Kelly,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,251.45,258.56,268.86,251.32,249.43,267.79,260.44,284.77,248.21,271.38,241.92,176.05,90.28,111.09,62.5,64.54,72.4,0,0,0,0
Bronco Mendenhall,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png,185.57,200.89,178.6,172.5,164.95,165.06,161.71,152.55,148.63,143.97,211.56,181.77,176.15,168.65,128.22,123.25,0,0,0,0,0
Bryan Harsin,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,167.92,189.93,183.46,167.43,160.66,171.68,163.09,113.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Butch Davis,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,162.27,152.57,173.58,137.75,0,0,0,0,0,0,224.64,258.85,205.05,244.08,0,0,0,0,0,0,161.25
Chad Lunsford,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png,145.22,125.24,146.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chip Kelly,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png,208.42,199.61,237.77,0,0,0,0,0,251.25,257.09,250.88,212.76,0,0,0,0,0,0,0,0,0
Chip Lindsey,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,154.47,157.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Creighton,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,136.77,124.99,121.54,100.97,102.89,110.15,84.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Klieman,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,182.46,177.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuck Martin,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,150.61,151.13,103.16,126.73,129.79,150.48,84.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay Helton,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png,181.01,243.51,291.2,297.1,273.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craig Bohl,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,138.13,140.75,109.14,122.05,109.65,114.32,80.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dabo Swinney,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png,309.73,275.55,283.67,238.91,271.16,277.98,240.73,249.66,241.73,269.69,218.08,207.86,271.35,0,0,0,0,0,0,0,0
Dan Mullen,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png,272.99,276.85,259.56,220.22,211.11,237.46,199.92,214.76,227.14,178.1,212.47,233.49,0,0,0,0,0,0,0,0,0
Dana Dimel,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,114.47,131.98,105.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.33,0,0
Dana Holgorsen,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png,155.32,165.39,208.32,174.68,194.45,198.02,194.85,201.03,206.7,160.31,0,0,0,0,0,0,0,0,0,0,0
Danny Gonzales,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,142.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darrin Chiaverini,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png,203.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Aranda,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png,181.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dave Clawson,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png,173.82,182.26,176.31,161.99,169.4,176.85,160.4,131.36,115.2,77.59,146.16,129.11,0,0,0,0,0,0,0,0,0
Dave Doeren,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,246.65,218.57,232.27,207.81,204.83,214.05,213.58,206.42,104.53,67.82,0,0,0,0,0,0,0,0,0,0,0
David Cutcliffe,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png,171.72,191.38,176.85,184.46,204.67,175.77,166.35,148.96,165.02,149.33,171.81,181.94,145.79,0,0,0,177.18,166.37,193.5,55.6,26.1
David Shaw,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png,238.62,242.58,202.29,246.79,245.82,220.65,250.05,175.38,275.98,221.85,0,0,0,0,0,0,0,0,0,0,0
Derek Mason,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png,182.21,182.42,202.04,167.42,171.54,181.37,183.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dino Babers,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png,175.88,182.67,189.14,180.08,165.15,119.83,102.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doc Holliday,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,146.14,165.42,165.85,132.84,176.55,149.98,165.64,170.81,134.93,152.84,164.29,0,0,0,0,0,0,0,0,0,0
Doug Martin,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,108.54,125.55,109.3,94.57,94.49,87.78,86.79,92.08,0,0,138.28,125.9,112.84,95.57,48.84,65.23,67.72,0,0,0,0
Ed Orgeron,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,300.54,284.06,254.38,287.66,0,0,0,256.44,0,0,0,0,0,221.24,231.94,183.26,0,0,0,0,0
Eliah Drinkwitz,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,182.85,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Solich,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,116.96,138.11,110.94,120.83,109.82,128.68,105.12,96.79,116.72,67.8,101.59,105.11,117.01,71.71,81.66,68.71,0,166.25,172.33,26.91,55.63
Gary Andersen,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png,134.5,149.92,0,181.32,169.17,167.89,205.44,191.08,96.05,56.53,127.94,84.41,0,0,0,0,0,0,0,0,0
Gary Patterson,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,215.88,210.62,224.13,210.03,235.79,191.44,188.64,194.83,219.37,207.48,192.08,196.02,133.71,155.69,143.23,152.76,131.89,110.37,113.44,0,0
Geoff Collins,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png,222.73,188.28,155.39,108.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Schiano,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,170.14,0,0,0,0,0,0,0,0,205.88,186.09,214.01,182.51,199.38,170.43,125.44,138.98,164.34,117.69,0,0
Gus Malzahn,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png,274.6,271.94,262.77,255.92,275.14,278.31,277.12,267.46,162.02,0,0,0,0,0,0,0,0,0,0,0,0
Herm Edwards,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png,229.47,219.76,207.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugh Freeze,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,146.5,108.39,0,0,281.69,245.71,241.12,275.52,190.69,48.25,0,0,0,0,0,0,0,0,0,0,0
Jake Spavital,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png,145.19,111.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Franklin,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png,256.05,270.67,285.92,240.47,237.79,250,221.35,211.23,194.25,164,0,0,0,0,0,0,0,0,0,0,0
Jason Candle,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,164.2,162.01,174,146.6,132.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Hopson,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,161.52,156.39,157.89,152.71,126.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jay Norvell,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,132.46,145.27,155.96,125.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Brohm,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,208.38,224.72,188.31,158.89,124.1,115.65,121.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Hafley ,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png,170.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Monken,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png,139.43,139.75,118.69,106.37,108.9,100.83,87.22,40.99,25.1,0,13.33,0,0,0,0,0,0,0,0,0,0
