player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,Team,teamid,2025 Team,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Mason White,43872,S,OREGON ST,6,2,0,0,0,0,265,0,0,67.4,56.6,78.3,56.7,40.2,65,0,0,0,0,0,14.3,2,1,0,0,0,0,0,47,2,32,83,0,0,0,0,0,29,83,2,49,4,1,10,0,0,0,0,0,0,0,Oregon State,265,Oregon State,199,1851,425,428,341,32,936,3737,1957,2879,4458,2303,1190,2336,66,505,2413,425,1154,16,996,970,1707,2631,3532,890,1455,3016,1394,470,1533,3007,2308,1729,2947,1327,1707,2628,2602,1,1,2736,2682,1,1,1,1,29,17,29
James Camden,53418,LB,W MICHIGAN,7,10,0,69.2,0,2,347,0,0,75.6,76.7,81.8,74.5,69.6,64.3,0,2,0,0,24,13.2,5,0,0,112,9,3,0,261,0,136,307,9,0,0,9,0,0,298,32,139,37,14,23,1,13,5,1,83,60,9.2,Western Michigan,347,Western Michigan,1,149,425,8,341,32,285,422,954,370,1432,2348,1190,1135,66,505,985,1002,83,16,99,1473,600,428,2216,890,1455,1394,1394,1376,374,1305,400,533,220,348,700,675,780,3195,1,2667,3975,1,3874,3826,3728,3705,4060,3082
Iesa Jarmon,53981,CB,AKRON,1,0,0,100,0,0,102,0,0,49.4,49.5,71,0,60,21.7,0,0,0,0,37,100,1,0,0,158.3,2,0,0,1,11,8,12,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,2,49,21,24.5,Akron,102,Akron,4155,3291,425,428,341,32,3621,4282,3362,3662,3157,4161,1190,2336,66,505,494,1002,1154,16,2802,712,2485,4077,3532,890,1455,3016,1394,1376,2480,3637,4238,2490,3617,3974,1707,1902,2602,3917,1,4492,1727,1,4490,2567,4324,3245,3214,4451
Malik Denkins,55516,ED,C MICHIGAN,4,3,0,0,0,0,134,0,0,61.2,64.5,77.6,56,61.4,77.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,44,5,0,33,6,0,0,13,31,0,3,3,0,0,0,0,0,0,0,Central Michigan,134,Central Michigan,2805,1362,425,428,341,32,2034,2335,2122,3019,2868,779,1190,2336,66,505,2413,1002,1154,16,3165,1473,3462,3202,1399,578,1455,772,805,1376,3417,1870,2800,2490,2065,2761,1707,2628,2602,1,1,1,1,1,1,1,1,29,17,29
Shaun Myers,62235,LB,COLORADO,7,4,0,83.3,0,0,143,0,0,66.8,68,80.3,61.8,65.1,83.2,0,1,0,0,19,0,0,0,0,129.2,5,0,0,81,2,35,92,7,0,0,7,0,0,85,6,51,2,2,5,1,6,1,1,33,40,6.6,Colorado,143,Colorado,1,1027,425,428,341,32,1004,1607,1428,1600,2180,209,1190,1587,66,505,1310,1002,1154,16,688,970,1656,2504,2348,890,1455,1545,1394,1376,1522,2348,2248,2022,2445,2272,700,1327,1908,3737,1,1,1,1,4278,3258,3728,2985,3689,2573
Will Whitson,64470,ED,MISS STATE,2,2,0,0,0,0,227,0,0,0,81.1,76.9,74.8,75.4,78.8,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,46,0,2,29,15,0,0,28,18,0,5,3,3,0,6,0,0,0,0,Mississippi State,0,Mississippi State,3692,1851,425,428,341,32,3918,175,2290,347,681,658,1190,625,66,505,2413,1002,188,16,3165,1473,3462,3164,1377,890,1272,836,511,1376,3417,1388,3289,2490,1426,2761,116,2628,637,1,1,1,1,1,1,1,1,29,17,29
Mister Williams,70521,LB,S DIEGO ST,6,6,0,58.3,0,0,284,0,0,59,70.4,80.5,68.8,81.5,71.5,1,1,0,0,44,4.5,1,1,0,91.7,7,0,0,164,2,115,220,9,0,0,9,0,0,211,14,91,45,13,15,1,12,2,0,118,95,16.9,San Diego State,284,San Diego State,199,539,425,428,341,32,2830,1178,1361,732,219,1776,489,1587,66,505,309,425,1154,16,288,970,793,1123,2216,890,1455,1394,1394,1376,830,1826,1292,430,283,808,700,760,1480,2722,1,1772,1727,1,3226,3582,1,4044,4377,4191
Ben Florentine,70644,DI,WYOMING,6,7,0,0,0,0,351,0,0,60.3,71.8,83.5,62.4,75.6,80.2,1,5,0,0,0,0,0,0,0,0,0,4,0,1,0,1,280,279,32,198,3,46,0,1,164,115,0,9,7,1,0,10,0,0,0,0,Wyoming,351,Wyoming,199,389,425,428,341,32,2259,963,441,1505,659,478,489,461,66,505,2413,1002,39,16,2802,1473,3176,628,77,217,49,2016,151,1376,3120,38,794,2490,630,1823,700,2628,289,1,1,1,1,1,1,1,1,29,17,29
Korey Foreman,70831,ED,FRESNO ST,7,3,0,100,0,0,169,0,0,50,64.8,84.6,62.4,69.8,66.4,2,7,0,0,17,14.3,2,1,0,118.8,2,2,0,0,0,11,188,188,0,3,182,3,0,0,106,71,0,8,9,1,2,11,0,33,10,16.5,Fresno State,169,Fresno State,1,1362,425,428,341,32,3592,2268,229,1505,1406,2205,226,263,66,505,1451,425,188,16,3165,1473,2311,1457,441,890,1209,156,995,1376,3417,348,1729,2490,763,1468,700,1902,241,3917,1,2736,2682,1,4013,2567,1,2985,2758,4168
Calvin Pitcher,70877,LB,UAB,6,9,0,66.7,0,0,321,0,0,51.3,68.9,83.9,54.2,78,67.3,0,1,0,0,65,12.9,4,0,0,109.7,2,1,0,127,0,42,187,44,0,0,43,1,0,143,9,136,16,10,18,0,3,2,0,76,61,38,UAB,321,UAB,199,209,425,428,341,32,3503,1433,357,3347,434,2145,1190,1587,66,505,85,1002,433,16,425,1473,1554,1471,1399,890,1455,688,1184,1376,1157,2082,444,1006,521,600,1707,1712,1480,2977,1,2642,3689,1,3819,2567,1,3630,4076,4535
Tate Romney,70946,LB,ARIZONA ST,6,1,0,50,0,0,110,0,0,63.2,57.1,0,55.6,58.4,41.8,0,0,0,0,9,27.3,3,1,1,62.5,1,0,0,53,0,31,65,4,0,0,4,0,1,61,4,30,7,2,7,0,2,0,0,9,13,9,Arizona State,110,Arizona State,199,2423,425,428,341,32,1562,3685,4253,3101,3511,3617,1190,2336,66,505,2033,425,1154,16,922,1473,1722,2865,2663,890,1455,1871,1394,1112,1692,2597,2836,1452,2445,1823,1707,1902,2602,2338,1,3964,3309,3245,2484,2104,1,2399,2891,3011
Domani Jackson,71370,CB,ALABAMA,6,4,0,62.5,0,0,103,0,0,60.7,59.6,2.9,67.2,57.8,85.9,0,1,0,0,38,4.2,1,1,2,137.5,5,0,0,29,196,127,237,6,0,0,6,0,6,231,3,107,0,5,19,1,8,1,1,84,13,16.8,Alabama,103,Alabama,199,1027,425,428,341,32,2170,3334,4239,866,3572,89,1190,1587,66,505,465,425,1154,16,1244,233,689,980,2416,890,1455,1627,1394,748,729,2783,971,2490,1426,542,700,1101,1908,2855,1,1761,1727,4109,4358,3258,3728,3717,2891,4180
