player,player_id,position,team_name,2025 Team,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te,rank_player_game_count,rank_block_percent,rank_grades_offense,rank_grades_pass_block,rank_grades_run_block,rank_non_spike_pass_block,rank_non_spike_pass_block_percentage,rank_pass_block_percent,rank_pbe,rank_snap_counts_block,rank_snap_counts_ce,rank_snap_counts_lg,rank_snap_counts_lt,rank_snap_counts_offense,rank_snap_counts_pass_block,rank_snap_counts_pass_play,rank_snap_counts_rg,rank_snap_counts_rt,rank_snap_counts_run_block,rank_snap_counts_te,rank_declined_penalties,rank_hits_allowed,rank_hurries_allowed,rank_penalties,rank_pressures_allowed,rank_sacks_allowed
James Milovale,175703,T,HAWAII,Hawaii,4,100,0,180,61.5,61.9,60.5,0,6,209,100,100,98.1,3,7,1,303,0,0,0,303,221,221,0,303,82,0,1,1,2085,1560,1497,1,6,11,1481,1,286,352,411,1,1,1,385,1,332,980,1,1,3833,3812,3822,3586
Zhen Sotelo,146067,G,HAWAII,Hawaii,4,100,0,180,66.3,77.8,62.7,0,1,209,100,100,99.8,2,1,0,303,0,303,0,303,221,221,0,0,82,0,1,1,1411,382,1030,1,6,11,1166,1,286,1,411,1,1,1,385,410,332,980,1,1,2941,3643,2775,1
Dean Briski,158172,T,HAWAII,Hawaii,4,100,0,180,43.9,44.8,46.2,0,9,184,100,100,95.9,3,12,3,268,0,0,268,268,196,196,0,0,72,0,1,1,3794,1920,3607,3,6,11,1874,3,286,352,1,3,3,4,385,410,527,980,1,1,3888,3812,3890,3883
Judah Kaio,184168,G,HAWAII,Hawaii,4,100,0,180,46.5,24.1,55.4,3,4,181,100,100,96.4,0,10,3,261,81,0,0,261,193,193,180,0,68,0,1,1,3730,2176,2994,4,6,11,1806,4,145,352,411,4,4,5,47,410,608,980,1,3873,3718,1,3876,3883
Will Flowers,138993,C,APP STATE,Appalachian State,3,100,0,108,61.5,60.6,63.8,0,2,154,100,100,99.4,2,2,0,255,255,0,0,255,160,160,0,0,95,0,61,1,2085,1599,917,10,6,11,1199,5,1,352,411,6,10,11,385,410,139,980,1,1,3373,3643,3215,1
Trent Ramsey,158327,G,APP STATE,Appalachian State,3,100,0,108,61.4,58.5,62.7,5,7,154,100,100,96.1,1,12,0,255,0,0,0,255,160,160,255,0,95,0,61,1,2098,1662,1030,10,6,11,1860,5,286,352,411,6,10,11,1,410,139,980,1,3893,3868,2973,3890,1
Omar Aigbedion,164383,G,BAYLOR,Baylor,3,100,0,118,73.3,68.2,75.5,2,1,146,100,100,99,2,3,0,254,0,0,0,254,160,160,254,0,94,0,61,1,612,1195,208,14,6,11,1247,7,286,352,411,8,10,11,2,410,159,980,1,3812,2941,3643,3445,1
Ryan Lengyel,144516,G,BAYLOR,Baylor,3,100,0,118,68.5,67.5,68.2,0,2,146,100,100,98.6,0,3,1,254,0,254,0,254,160,160,0,0,94,0,61,1,1110,1255,591,14,6,11,1350,7,286,2,411,8,10,11,385,410,159,980,1,1,3373,1,3445,3586
Jim Bonifas,144544,C,IOWA STATE,Iowa State,4,100,0,193,69.5,74.6,65.3,0,1,120,100,100,99.6,0,1,0,253,253,0,0,253,127,127,0,0,126,0,1,1,994,632,800,65,6,11,1168,9,2,352,411,11,66,95,385,410,10,980,1,1,2941,1,2775,1
Sidney Fugar,148284,T,BAYLOR,Baylor,3,100,1,118,58.5,63.3,55.7,0,3,144,100,100,98.3,3,4,1,249,0,0,249,249,158,158,0,0,91,0,61,1,2553,1502,2956,16,6,11,1442,10,286,352,2,12,15,18,385,410,189,980,3747,1,3576,3812,3596,3586
Alex Atcavage,123591,G,FAU,Florida Atlantic,3,100,0,165,57.8,60.9,56.2,1,9,167,100,100,97,1,10,0,249,0,0,0,249,174,174,247,0,75,1,61,1,2675,1592,2900,5,6,11,1728,10,286,352,411,12,5,6,3,410,462,763,1,3530,3888,2973,3876,1
Daughtry Richardson,156281,T,FAU,Florida Atlantic,3,100,1,165,61.7,62.4,61.2,2,5,167,100,100,96.7,2,9,2,249,0,0,0,249,174,174,0,247,75,1,61,1,2048,1537,1320,5,6,11,1760,10,286,352,411,12,5,6,385,2,462,763,3747,3812,3794,3643,3867,3840
Scarlee Jean,160961,G,FAU,Florida Atlantic,3,100,0,165,66,86,57.1,0,4,167,100,100,98.8,0,4,0,249,0,247,0,249,174,174,0,1,75,0,61,1,1446,58,2771,5,6,11,1309,10,286,3,411,12,5,6,385,360,462,980,1,1,3718,1,3596,1
Vincent Fiacable,144836,C,FAU,Florida Atlantic,3,100,0,165,66.2,86.6,54.9,0,0,167,100,100,100,0,0,0,247,247,0,0,247,173,173,0,0,74,0,61,1,1423,41,3047,5,6,11,1,14,3,352,411,16,8,9,385,410,489,980,1,1,1,1,1,1
Cayden Sweatt,175006,G,APP STATE,Appalachian State,3,100,0,108,63.2,70.8,59.2,0,2,149,100,100,98,0,4,2,245,0,245,0,245,154,154,0,0,91,0,61,1,1824,987,2344,13,6,11,1503,15,286,4,411,17,16,19,385,410,189,980,1,1,3373,1,3596,3840
Kaden Sieracki,158571,T,BAYLOR,Baylor,3,100,0,118,63.4,58.5,63.6,0,6,140,100,100,97.9,0,6,0,243,0,0,0,243,154,154,0,243,89,0,61,1,1797,1662,931,19,6,11,1531,16,286,352,411,18,16,19,385,3,221,980,1,1,3833,1,3773,1
Austin Collins,122700,C,SYRACUSE,Syracuse,3,100,0,304,66.9,69.5,65.8,0,3,144,100,100,97.6,1,5,2,238,238,0,0,238,153,153,0,0,85,0,61,1,1327,1118,751,16,6,11,1596,17,4,352,411,19,18,21,385,410,285,980,1,1,3576,2973,3710,3840
Brendan Black,174658,G,IOWA STATE,Iowa State,4,100,0,193,63.1,44.7,65.7,0,4,112,100,100,97.3,0,5,1,238,8,0,0,238,118,118,230,0,120,0,1,1,1840,1922,764,105,6,11,1667,17,247,352,411,19,105,154,4,410,20,980,1,1,3718,1,3710,3586
Ja'Kavion Nonar,162800,T,FAU,Florida Atlantic,3,100,0,165,64.6,67.8,68.8,2,4,159,100,100,97.5,4,7,1,238,0,0,236,238,166,166,0,0,72,1,61,1,1648,1231,542,9,6,11,1617,17,286,352,4,19,9,10,385,410,527,763,1,3812,3718,3874,3822,3586
TJ Ferguson,146597,G,SYRACUSE,Syracuse,3,100,0,304,62.3,78.5,57.9,0,1,144,100,100,99.7,1,1,0,238,0,238,0,238,153,153,0,0,85,0,61,1,1972,333,2658,16,6,11,1167,17,286,5,411,19,18,21,385,410,285,980,1,1,2941,2973,2775,1
Tyler Miller,122526,T,IOWA STATE,Iowa State,4,100,0,193,65.5,58.5,65.6,2,3,113,100,100,96.9,0,6,1,237,0,0,0,237,119,119,0,237,118,0,1,1,1516,1662,773,100,6,11,1739,21,286,352,411,23,98,144,385,4,24,980,1,3812,3576,1,3773,3586
James Neal III,157599,T,IOWA STATE,Iowa State,4,100,0,193,72.6,71.9,71.6,0,6,113,100,100,96.5,1,7,1,237,0,0,237,237,119,119,0,0,118,0,1,1,665,873,377,100,6,11,1793,21,286,352,3,23,98,144,385,410,24,980,1,1,3833,2973,3822,3586
Brayden Walton,198457,T,FRESNO ST,Fresno State,4,100,0,169,46.4,70.5,36.5,0,2,114,100,100,97.4,3,4,2,234,0,0,233,234,118,118,0,0,116,1,1,1,3736,1013,3817,94,6,11,1646,23,286,352,5,26,105,154,385,410,30,763,1,1,3373,3812,3596,3840
Edward Fonua,173529,G,FRESNO ST,Fresno State,4,100,0,169,59.4,67.9,55.9,1,6,114,100,100,96.9,0,7,0,234,0,234,0,234,118,118,0,0,116,0,1,1,2421,1217,2941,94,6,11,1739,23,286,6,411,26,105,154,385,410,30,980,1,3530,3833,1,3822,1
Andrew Leingang,144599,T,KANSAS ST,Kansas State,4,100,0,199,68.8,83.1,61.2,0,1,134,100,100,99.6,0,1,0,230,0,6,0,230,137,137,105,118,93,1,1,1,1079,131,1320,23,6,11,1168,25,286,297,411,29,35,49,116,110,172,763,1,1,2941,1,2775,1
John Pastore,157770,T,KANSAS ST,Kansas State,4,100,0,199,78.6,77.1,74.8,0,2,134,100,100,99.3,1,2,0,230,0,0,227,230,137,137,0,0,93,3,1,1,293,436,234,23,6,11,1209,25,286,352,6,29,35,49,385,410,172,641,1,1,3373,2973,3215,1
Sam Hecht,144601,C,KANSAS ST,Kansas State,4,100,0,199,72,72.8,68.8,0,3,134,100,100,98.9,0,3,0,230,230,0,0,230,137,137,0,0,93,0,1,1,721,797,542,23,6,11,1278,25,5,352,411,29,35,49,385,410,172,980,1,1,3576,1,3445,1
Aleric Watson,156654,T,ARK STATE,Arkansas State,3,100,0,113,62.4,64.4,61.4,1,4,123,100,100,97.2,1,6,1,228,0,0,0,228,133,133,0,228,95,0,61,1,1955,1444,1260,54,6,11,1689,28,286,352,411,34,51,71,385,5,139,980,1,3530,3718,2973,3773,3586
Tristian Smith,163472,G,ARK STATE,Arkansas State,3,100,1,113,64.8,84.8,58,0,0,123,100,100,99.2,2,1,1,228,0,228,0,228,133,133,0,0,95,0,61,1,1619,83,2644,54,6,11,1221,28,286,7,411,34,51,71,385,410,139,980,3747,1,1,3643,2775,3586
Jacob Spomer,163415,C,FRESNO ST,Fresno State,4,100,0,169,82.8,85.1,79.3,1,0,111,100,100,99.5,1,1,0,224,224,0,0,224,115,115,0,0,109,0,1,1,154,76,117,109,6,11,1177,30,6,352,411,38,118,171,385,410,64,980,1,3530,1,2973,2775,1
Rolan Fullwood,146051,T,FRESNO ST,Fresno State,4,100,0,169,61.6,77,52.4,0,1,111,100,100,98.6,0,2,1,224,0,0,0,224,115,115,0,219,109,5,1,1,2071,441,3271,109,6,11,1350,30,286,352,411,38,118,171,385,8,64,560,1,1,2941,1,3215,3586
Ethan Spencer,158188,C,HAWAII,Hawaii,3,100,0,180,60.2,69.4,56.6,0,2,152,100,100,97.4,1,5,3,222,222,0,0,222,159,159,0,0,63,0,61,1,2295,1122,2839,12,6,11,1646,32,7,352,411,40,14,17,385,410,724,980,1,1,3373,2973,3710,3883
Noah Rosahac,183378,T,DELAWARE,Delaware,3,100,0,151,64,76.3,59.7,1,2,130,100,100,98.8,3,3,0,222,0,0,0,222,137,137,0,222,85,0,61,1,1724,496,2194,38,6,11,1309,32,286,352,411,40,35,49,385,6,285,980,1,3530,3373,3812,3445,1
Anthony Caccese,173606,G,DELAWARE,Delaware,3,100,0,151,59.8,66.9,55.7,0,0,130,100,100,99.2,0,1,1,222,0,0,0,222,137,137,222,0,85,0,61,1,2360,1310,2956,38,6,11,1221,32,286,352,411,40,35,49,5,410,285,980,1,1,1,1,2775,3586
Fintan Brose,142242,C,DELAWARE,Delaware,3,100,0,151,63.2,75.9,56.7,0,1,130,100,100,98.8,0,2,1,222,141,81,0,222,137,137,0,0,85,0,61,1,1824,535,2821,38,6,11,1309,32,105,141,411,40,35,49,385,410,285,980,1,1,2941,1,3215,3586
Emmanuel Poku,162652,G,E CAROLINA,East Carolina,3,100,0,156,65.4,67.7,63.7,0,4,121,100,100,98.3,1,4,0,222,0,0,0,222,127,127,222,0,95,0,61,1,1530,1239,926,62,6,11,1442,32,286,352,411,40,66,95,5,410,139,980,1,1,3718,2973,3596,1
Darius Bell,148375,C,E CAROLINA,East Carolina,3,100,0,156,56.3,69,53.5,0,2,121,100,100,99.2,2,2,0,222,222,0,0,222,127,127,0,0,95,0,61,1,2898,1150,3179,62,6,11,1221,32,7,352,411,40,66,95,385,410,139,980,1,1,3373,3643,3215,1
