player,player_id,position,team_name,2025 Team,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception,rank_player_game_count,rank_assists,rank_batted_passes,rank_forced_fumbles,rank_fumble_recoveries,rank_fumble_recovery_touchdowns,rank_grades_coverage_defense,rank_grades_defense,rank_grades_defense_penalty,rank_grades_pass_rush_defense,rank_grades_run_defense,rank_grades_tackle,rank_hits,rank_hurries,rank_interception_touchdowns,rank_interceptions,rank_longest,rank_pass_break_ups,rank_sacks,rank_safeties,rank_snap_counts_box,rank_snap_counts_corner,rank_snap_counts_coverage,rank_snap_counts_defense,rank_snap_counts_dl,rank_snap_counts_dl_a_gap,rank_snap_counts_dl_b_gap,rank_snap_counts_dl_outside_t,rank_snap_counts_dl_over_t,rank_snap_counts_fs,rank_snap_counts_offball,rank_snap_counts_pass_rush,rank_snap_counts_run_defense,rank_snap_counts_slot,rank_stops,rank_tackles,rank_tackles_for_loss,rank_targets,rank_total_pressures,rank_catch_rate,rank_declined_penalties,rank_missed_tackle_rate,rank_missed_tackles,rank_penalties,rank_qb_rating_against,rank_receptions,rank_touchdowns,rank_yards,rank_yards_after_catch,rank_yards_per_reception
Mason White,43872,S,OREGON ST,Oregon State,2,0,0,0,0,0,265,0,0,48.9,40.5,75.6,56.7,35.5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,13,35,0,0,0,0,0,15,35,2,20,2,0,3,0,0,0,0,0,0,0,2465,2533,230,214,166,19,3110,4120,2310,2521,4141,366,737,1691,33,270,1950,632,711,10,1133,781,1775,2734,3005,735,1286,2407,1153,454,1582,2452,2441,1593,2999,1803,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
James Camden,53418,LB,W MICHIGAN,Western Michigan,3,6,0,83.3,0,1,347,0,0,74.4,63.8,79.3,63.1,49.4,46.1,0,1,0,0,23,21.4,3,0,0,137.5,5,1,0,140,0,65,156,7,0,0,7,0,0,149,20,71,9,3,5,1,6,2,1,45,38,9,73,89,230,13,166,19,294,2253,990,1172,3829,3054,737,943,33,270,601,632,178,10,62,1120,564,330,1926,735,1286,1104,1153,1095,306,1100,276,884,1028,1201,305,650,855,3414,1,3249,3702,1,4046,3604,3776,3490,3855,3052
Iesa Jarmon,53981,CB,AKRON,Akron,1,0,0,100,0,0,102,0,0,49.4,49.5,71,0,60,21.7,0,0,0,0,37,100,1,0,0,158.3,2,0,0,1,11,8,12,0,0,0,0,0,0,12,0,4,0,0,0,0,2,0,2,49,21,24.5,3554,2533,230,214,166,19,3082,3915,3363,3161,2865,3721,737,1691,33,270,245,632,711,10,2385,619,2049,3656,3005,735,1286,2407,1153,1095,2152,3142,3832,2115,2999,3465,1063,1412,2030,3533,1,4127,2199,1,4137,2727,4132,3565,3483,4082
Malik Denkins,55516,ED,C MICHIGAN,Central Michigan,3,2,0,0,0,0,134,0,0,0,57.7,76.4,57.4,57.9,76.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,5,0,21,6,0,0,8,24,0,2,2,0,0,0,0,0,0,0,73,855,230,214,166,19,3356,3262,2066,2339,3241,1001,737,1691,33,270,1950,632,711,10,2676,1120,3027,2806,1189,433,1286,667,542,1095,2937,1695,2201,2115,1502,2270,1063,2196,2030,1,1,1,1,1,1,1,1,37,18,37
Shaun Myers,62235,LB,COLORADO,Colorado,3,4,0,80,0,0,143,0,0,75.7,78.3,79,56,74.2,82.7,0,0,0,0,8,0,0,0,0,118.8,4,0,0,71,1,30,76,2,0,0,2,0,0,74,3,43,2,1,4,0,5,0,1,14,18,3.5,73,244,230,214,166,19,240,325,1107,2658,646,224,737,1691,33,270,1556,632,711,10,334,861,1283,1680,2437,735,1286,1678,1153,1095,1073,2258,1182,1593,2108,1468,1063,805,2030,3320,1,1,1,1,3760,3382,3776,2737,3378,2393
Will Whitson,64470,ED,MISS STATE,Mississippi State,2,2,0,0,0,0,227,0,0,0,81.4,76.9,75.3,75.4,78.8,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46,46,0,2,29,15,0,0,28,18,0,5,3,3,0,6,0,0,0,0,2465,855,230,214,166,19,3356,185,1894,243,533,623,737,183,33,270,1950,632,44,10,2676,1120,3027,2433,969,735,1109,562,242,1095,2937,861,2577,2115,499,1803,15,2196,173,1,1,1,1,1,1,1,1,37,18,37
Mister Williams,70521,LB,S DIEGO ST,San Diego State,2,2,0,0,0,0,284,0,0,67.5,72.3,76.2,57.3,73.4,54.4,0,0,0,0,0,0,0,0,0,39.6,0,0,0,39,0,23,53,5,0,0,5,0,0,48,3,27,9,3,3,0,2,0,0,0,0,0,2465,855,230,214,166,19,757,830,2132,2363,735,2700,737,1691,33,270,1950,632,711,10,666,1120,1457,2259,2080,735,1286,1257,1153,1095,1416,2258,2035,884,1028,1803,1063,1412,2030,1,1,1,1,1,2101,1,1,37,18,37
Ben Florentine,70644,DI,WYOMING,Wyoming,3,4,0,0,0,0,351,0,0,0,69.8,80.6,66.1,68.5,77,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,132,132,14,91,2,25,0,0,74,58,0,5,2,0,0,4,0,0,0,0,73,244,230,214,166,19,3356,1183,540,850,1356,854,737,943,33,270,1950,632,14,10,2676,1120,3027,613,92,227,69,1678,122,1095,2937,90,604,2115,499,2270,1063,2196,367,1,1,1,1,1,1,1,1,37,18,37
Korey Foreman,70831,ED,FRESNO ST,Fresno State,4,1,0,100,0,0,169,0,0,42.5,56.1,82.3,58.6,66.7,70.2,0,2,0,0,17,11.1,1,0,0,118.8,2,2,0,0,0,5,113,113,0,3,107,3,0,0,63,45,0,6,7,1,2,4,0,33,10,16.5,1,1489,230,214,166,19,3269,3448,185,2073,1619,1923,737,545,33,270,902,632,44,10,2676,1120,2300,910,202,735,1058,79,749,1095,2937,172,1088,2115,333,794,305,1412,367,3533,1,2485,2199,1,3760,2727,1,3282,2989,3852
Anthony Hebert,70875,S,DELWARE ST,Delaware State,1,0,0,100,0,0,152,0,0,54,62.9,76.4,76.1,70.3,84,0,0,0,0,17,0,0,0,0,142.4,3,1,0,20,0,33,58,2,0,0,2,0,33,56,1,24,3,3,5,0,3,1,2,26,1,8.7,3554,2533,230,214,166,19,2827,2411,2066,222,1114,155,737,1691,33,270,902,632,178,10,1010,1120,1217,2129,2437,735,1286,1678,1153,319,1304,2728,2201,1436,1028,1201,1063,1175,1263,3533,1,1,1,1,4067,3098,4132,3128,2346,3022
