player,player_id,position,team_name,2025 Team,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,rank_player_game_count,rank_avg_depth_of_target,rank_avoided_tackles,rank_caught_percent,rank_contested_catch_rate,rank_contested_receptions,rank_contested_targets,rank_drop_rate,rank_drops,rank_first_downs,rank_fumbles,rank_grades_hands_drop,rank_grades_hands_fumble,rank_grades_offense,rank_grades_pass_block,rank_grades_pass_route,rank_inline_rate,rank_inline_snaps,rank_interceptions,rank_longest,rank_pass_block_rate,rank_pass_blocks,rank_pass_plays,rank_penalties,rank_receptions,rank_route_rate,rank_routes,rank_slot_rate,rank_slot_snaps,rank_targeted_qb_rating,rank_targets,rank_touchdowns,rank_wide_rate,rank_wide_snaps,rank_yards,rank_yards_after_catch,rank_yards_after_catch_per_reception,rank_yards_per_reception,rank_yprr,rank_declined_penalties
Jayce Brown,173093,WR,KANSAS ST,Kansas State,4,12.7,1,61,42.9,3,7,1,10.7,3,9,199,0,59.7,72.4,70.7,0,68.4,0,0,0,44,0,0,122,1,25,97.5,119,72.1,88,98,41,2,27.9,34,284,51,2,11.4,2.39,1,401,322,1105,369,13,4,387,3,68,55,1208,344,412,707,424,485,485,242,168,709,709,18,47,4,367,12,282,14,699,1,52,714,297,17,273,1231,638,337,1669
Pofele Ashlock,158166,WR,HAWAII,Hawaii,4,6.4,10,65,16.7,1,6,0,10.3,3,11,180,0,61.5,71.3,59.5,0,59,0,0,0,47,0,0,201,0,26,93.5,188,89.6,180,105.7,40,3,10.4,21,235,105,4,9,1.25,1,944,3,1041,442,144,12,389,3,32,55,1182,371,1092,707,1028,485,485,242,140,709,709,1,305,3,709,1,164,1,561,2,11,955,400,50,62,915,894,807,1
Easton Messer,163051,WR,FAU,Florida Atlantic,3,7.4,3,74.4,33.3,1,3,0,0,0,12,165,0,88.9,76.9,73.4,0,73.9,0,0,1,30,0,0,143,0,29,96.5,138,89.5,128,87.4,39,1,9.8,14,239,118,4.1,8.2,1.73,36,855,93,795,384,144,102,499,499,20,55,1,171,298,707,223,485,485,29,378,709,709,4,305,1,450,3,166,2,925,3,144,986,493,45,37,905,994,593,1
Jordyn Tyson,157690,WR,ARIZONA ST,Arizona State,3,10.8,5,66.7,66.7,2,3,1,4,1,17,110,1,77.8,28.6,80.1,0,83.1,0,0,1,36,0,0,114,2,24,93,106,30.7,35,119.4,36,4,69.3,79,314,134,5.6,13.1,2.96,36,551,31,900,212,55,102,498,116,1,1,206,1537,113,707,54,485,485,29,269,709,709,26,9,5,750,23,610,183,280,4,3,561,57,7,26,673,501,225,1669
Jacquon Gibson,158762,WR,UMASS,Massachusetts,3,9,4,66.7,100,3,3,0,7.7,2,14,216,0,67.6,72.2,70.6,0,70.8,0.9,1,0,50,0,0,107,0,24,96.3,103,16.8,18,87.5,36,0,82.2,88,258,110,4.6,10.8,2.5,36,702,52,900,1,13,102,452,21,8,55,802,347,415,707,316,482,408,242,114,709,709,41,305,5,461,31,887,364,899,4,457,446,29,29,48,842,702,303,1
Trent Walker,146340,WR,OREGON ST,Oregon State,3,9.9,3,67.6,50,3,6,0,8,2,14,265,0,66.7,75.4,73.7,0,72.4,0,0,2,31,0,0,127,0,23,93.7,119,28.3,36,71.1,34,0,71.7,91,303,90,3.9,13.2,2.55,36,633,93,899,255,13,12,451,21,8,55,812,227,285,707,258,485,485,4,361,709,709,15,305,9,698,12,658,172,1205,6,457,541,24,13,92,972,495,291,1
Lewis Bond,143817,WR,BOSTON COL,Boston College,3,4.5,4,84.8,100,1,1,0,0,0,11,121,0,88.6,72.3,66.4,0,66.9,0,0,0,32,0,0,128,0,28,96.9,124,62.5,80,99.2,33,0,36.7,47,258,153,5.5,9.2,2.08,36,1125,52,546,1,144,379,499,499,32,55,2,345,651,707,500,485,485,242,340,709,709,14,305,2,409,8,338,22,674,7,457,666,209,29,15,682,884,431,1
Devin McCuin,176494,WR,UTSA,UTSA,3,8.1,5,56.3,50,3,6,0,10,2,9,331,0,62.7,74.8,64.6,0,64.5,0,0,0,42,0,0,112,2,18,94.6,106,29.5,33,91.5,32,2,70.5,79,167,117,6.5,9.3,1.58,36,791,31,1201,255,13,12,390,21,68,55,1178,256,765,707,641,485,485,242,187,709,709,32,9,22,610,23,635,195,844,8,52,552,57,121,39,538,860,647,1
Skyler Bell,145163,WR,UCONN,Connecticut,3,10.6,2,68.8,50,3,6,0,4.3,1,13,146,1,75.9,28.5,78.5,0,79.5,0,0,0,80,0,0,95,0,22,94.7,90,37.9,36,123.7,32,2,58.9,56,334,169,7.7,15.2,3.71,36,568,173,892,255,13,12,496,116,13,1,335,1539,143,707,103,485,485,242,7,709,709,87,305,12,595,78,500,172,253,8,52,626,154,5,10,401,335,143,1
Jaden Barnes,173738,WR,APP STATE,Appalachian State,3,8.8,11,75,80,4,5,0,7.7,2,15,108,1,67.6,45.2,82.9,0,82.2,0,0,0,59,0,0,96,0,24,94.8,91,76,73,139.7,32,3,24,23,337,179,7.5,14,3.7,36,732,1,706,200,5,30,452,21,3,1,802,1515,66,707,71,485,485,242,69,709,709,81,305,5,586,69,260,33,155,8,11,747,383,4,3,423,415,146,1
