player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,Team,teamid,2025 Team,rank_player_game_count,rank_accuracy_percent,rank_aimed_passes,rank_attempts,rank_avg_depth_of_target,rank_avg_time_to_throw,rank_big_time_throws,rank_btt_rate,rank_completion_percent,rank_completions,rank_drop_rate,rank_dropbacks,rank_drops,rank_first_downs,rank_grades_hands_fumble,rank_grades_offense,rank_grades_pass,rank_grades_run,rank_hit_as_threw,rank_interceptions,rank_passing_snaps,rank_penalties,rank_qb_rating,rank_scrambles,rank_spikes,rank_thrown_aways,rank_touchdowns,rank_turnover_worthy_plays,rank_twp_rate,rank_yards,rank_ypa,rank_bats,rank_declined_penalties,rank_def_gen_pressures,rank_pressure_to_sack_rate,rank_sack_percent,rank_sacks
Jaylen Raynor,172203,QB,ARK STATE,10,74.1,363,382,8.2,2.72,4,11,2.7,67.3,257,0,119,4.5,443,12,138,113,58.6,73.2,65.6,77.8,2,10,476,1,21.8,85.3,5.9,26,33,2,11,13,18,3.8,2449,6.4,Arkansas State,113,Arkansas State,1,107,1,1,200,159,60,186,62,1,233,1,55,2,179,114,151,18,57,4,1,76,168,13,11,35,56,4,121,17,192,240,1,311,224,197,310
Nick Minicucci,173617,QB,DELAWARE,9,70.4,355,380,9.8,2.69,2,14,3.4,61.8,235,1,107,6,413,15,126,151,65.5,69.4,66.7,67.2,9,6,449,3,13.1,92,3.4,14,18,1,13,17,14,3.1,2738,7.2,Delaware,0,Delaware,18,179,2,2,92,179,36,152,149,4,189,2,33,12,135,141,140,117,1,44,2,23,136,72,22,18,31,17,163,7,131,163,308,300,111,101,250
Caden Veltkamp,156642,QB,FAU,9,74.1,352,370,7.8,2.47,4,19,4.9,66.2,245,0,93,6.1,404,16,115,165,55.4,71.3,72.7,52.1,3,11,424,0,17.2,91,4,16,18,0,11,19,16,3.8,2577,7,Florida Atlantic,165,Florida Atlantic,18,107,4,3,226,263,8,96,80,2,185,5,28,25,192,124,88,282,34,2,6,169,140,72,74,35,16,10,121,12,145,240,1,274,170,119,271
Sawyer Robertson,146839,QB,BAYLOR,9,69.2,354,367,9.6,2.62,4,20,5,62.7,230,0,100,6.1,398,15,130,118,72.7,72.7,71,61.7,2,7,433,1,15,101.6,3.8,15,14,0,7,26,17,3.9,2782,7.6,Baylor,118,Baylor,18,194,3,4,105,205,3,91,135,5,185,6,33,8,35,119,99,179,57,29,3,76,86,95,74,90,1,7,116,5,104,240,1,285,140,111,261
Jaron-Keawe Sagapolutele,198237,QB,CAL,10,72.5,342,367,9.3,2.67,11,21,5.4,60.8,223,0,140,10.1,406,25,124,130,58.7,75.2,76.2,48.7,1,9,427,1,17.1,82.9,5.9,24,11,3,10,13,15,3.5,2519,6.9,California,130,California,1,147,5,4,130,187,2,68,163,8,98,4,2,15,177,94,57,296,104,7,5,76,185,117,5,45,56,13,138,13,154,316,1,319,168,197,307
Walker Eget,146170,QB,S JOSE ST,9,70.2,336,366,12.6,2.73,10,26,6.8,59,216,0,109,8.5,384,20,128,285,54.8,76.8,75.8,58.9,1,5,403,1,5.5,94.5,1.6,6,12,4,15,17,17,4.2,2940,8,San Jose State,285,San Jose State,18,182,6,6,23,155,1,42,198,12,124,8,10,10,194,74,61,227,104,63,9,76,118,110,1,11,31,7,99,1,77,313,1,303,62,62,173
Nicholas Vattiato,145302,QB,MIDDLE TN,9,71.1,332,360,7.4,2.52,8,8,2.1,60.6,218,0,94,7.6,409,18,112,224,54.6,62.1,64.4,48.4,0,7,432,0,21.3,84.2,4.9,20,29,4,16,16,6,1.4,2155,6,Middle Tennessee,224,Middle Tennessee,18,164,7,7,241,246,93,204,165,11,152,3,15,29,198,215,161,298,177,29,4,169,175,17,1,8,37,113,248,40,220,304,1,277,217,153,293
Kevin Jennings,158272,QB,SMU,10,76.4,326,351,8.2,2.7,6,20,5.4,65,228,0,99,8.4,392,21,119,287,59.2,79.1,79.8,56.4,4,9,413,1,17.2,98.9,4.3,17,22,0,15,21,12,2.9,2817,8,SMU,287,SMU,1,74,8,8,200,171,3,68,99,6,127,7,7,19,172,57,43,253,19,7,7,76,100,52,74,11,9,28,175,3,77,281,1,284,170,132,279
Joe Fagnano,104768,QB,UCONN,10,78.2,325,344,8,2.54,10,16,4.4,68.9,237,0,101,6.7,377,17,124,146,72.2,90.1,85.6,80.2,3,0,398,0,12.9,118.3,3.4,13,20,1,5,25,6,1.5,2855,8.3,Connecticut,146,Connecticut,1,56,9,9,214,237,27,115,51,3,173,12,20,15,42,13,15,13,34,229,11,169,22,59,22,116,3,113,245,2,58,313,1,287,110,101,242
Micah Alejado,184162,QB,HAWAII,8,75.7,317,336,9.4,2.64,5,16,4.6,65.5,220,0,95,8.3,384,20,123,180,71.1,73.2,75.3,53.2,0,7,396,2,21.1,95.2,5.2,20,27,0,14,18,11,2.8,2369,7.1,Hawaii,180,Hawaii,88,84,11,10,121,196,27,104,89,9,131,8,10,17,52,114,66,275,177,29,12,41,114,29,74,13,26,40,181,21,137,264,1,278,213,168,293
