player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr,Team,teamid,2025 Team,rank_player_game_count,rank_avg_depth_of_target,rank_avoided_tackles,rank_caught_percent,rank_contested_catch_rate,rank_contested_receptions,rank_contested_targets,rank_drop_rate,rank_drops,rank_first_downs,rank_fumbles,rank_grades_hands_drop,rank_grades_hands_fumble,rank_grades_offense,rank_grades_pass_block,rank_grades_pass_route,rank_inline_rate,rank_inline_snaps,rank_interceptions,rank_longest,rank_pass_block_rate,rank_pass_blocks,rank_pass_plays,rank_penalties,rank_receptions,rank_route_rate,rank_routes,rank_slot_rate,rank_slot_snaps,rank_targeted_qb_rating,rank_targets,rank_touchdowns,rank_wide_rate,rank_wide_snaps,rank_yards,rank_yards_after_catch,rank_yards_after_catch_per_reception,rank_yards_per_reception,rank_yprr,rank_declined_penalties
Danny Scudero,170781,WR,S JOSE ST,6,13.8,9,56.8,33.3,3,9,0,18,11,31,285,2,35.5,29.1,75.4,0,76,0,0,0,72,0,0,259,0,50,95,246,90.3,234,120.2,88,8,9.3,24,854,265,5.3,17.1,3.47,San Jose State,285,San Jose State,100,341,27,1416,619,106,45,275,1,1,2,1720,1787,242,955,183,646,646,456,55,952,952,10,588,2,541,7,161,3,327,1,1,1117,550,1,13,874,218,112,1
Jordyn Tyson,157690,WR,ARIZONA ST,6,10.4,5,63.5,41.7,5,12,1,2.1,1,30,110,1,88.2,46.9,82.7,0,84.6,0,0,1,57,0,0,246,2,47,92.3,227,26.8,66,110.4,74,7,72.8,179,523,223,4.7,11.1,2.3,Arizona State,110,Arizona State,100,658,131,1204,576,31,13,803,299,3,10,18,1745,59,955,45,646,646,110,142,952,952,14,44,4,893,13,765,210,558,2,2,585,36,16,25,1014,788,330,1890
Easton Messer,163051,WR,FAU,6,6.8,4,73,57.1,4,7,0,1.8,1,24,165,1,88.7,62.4,73,61.1,73.3,0,0,3,55,0.4,1,246,0,54,95.1,234,92.3,227,79.3,74,1,6.5,16,512,274,5.1,9.5,2.19,Florida Atlantic,165,Florida Atlantic,100,1071,174,858,381,58,83,804,299,19,10,10,1490,341,556,250,646,646,5,156,946,818,14,588,1,536,11,133,4,1245,2,330,1276,669,17,11,913,1036,376,1
Pofele Ashlock,158166,WR,HAWAII,7,8.6,11,63.9,37.5,3,8,0,11.5,6,27,180,0,63.7,73.6,63.6,0,63.2,0,0,2,47,0,0,343,0,46,94.8,325,90.7,311,98.6,72,6,9.3,32,468,134,2.9,10.2,1.44,Hawaii,180,Hawaii,1,870,12,1191,611,106,59,442,3,7,130,1320,416,941,955,814,646,646,25,257,952,952,1,588,5,574,1,155,1,790,4,7,1117,472,33,177,1418,936,774,1
Trent Walker,146340,WR,OREGON ST,7,10.6,7,64.3,40,4,10,0,11.8,6,28,265,0,56.7,79.8,72.7,0,73.1,0,0,4,37,0,0,263,0,45,95.1,250,41.4,109,67.5,70,0,58.6,154,599,200,4.4,13.3,2.4,Oregon State,265,Oregon State,1,636,61,1178,577,58,30,438,3,6,130,1454,176,356,955,256,646,646,1,435,952,952,7,588,6,536,4,528,92,1490,5,752,690,73,5,44,1073,531,294,1
Skyler Bell,145163,WR,UCONN,6,9.1,5,71.6,53.8,7,13,0,4,2,22,146,2,80.9,26.7,75.1,0,75.7,0,0,0,80,0,0,197,0,48,94.9,187,37.6,74,127.1,67,6,60.9,120,570,325,6.8,11.9,3.05,Connecticut,146,Connecticut,100,804,131,900,392,14,7,773,108,25,2,184,1810,263,955,192,646,646,456,14,952,952,84,588,3,558,68,567,184,263,6,7,678,148,7,4,584,698,156,1
Ted Hurst,187922,WR,GA STATE,6,10.8,14,56.9,58.3,7,12,0,11.9,5,26,175,0,57.5,72.8,77,0,76.8,0,0,3,52,0,0,234,0,37,94,220,16.7,39,73,65,2,83.3,195,506,242,6.5,13.7,2.3,Georgia State,175,Georgia State,100,617,5,1415,378,14,13,437,7,8,130,1443,438,189,955,159,646,646,5,185,952,952,21,588,16,689,19,1008,363,1405,7,154,454,25,19,18,630,493,330,1
Makai Lemon,174150,WR,USC,6,9.9,15,78.6,66.7,4,6,0,2.2,1,29,326,0,86.6,79.2,92,0,92.6,1.2,2,1,74,0,0,172,1,44,95.3,164,66.3,114,145.7,56,6,32.6,56,682,332,7.5,15.5,4.16,USC,326,USC,100,724,2,687,274,58,119,801,299,4,130,41,199,4,955,2,566,468,110,38,952,952,172,178,7,506,134,337,81,108,8,7,763,355,2,2,475,323,72,1
Jacquon Gibson,158762,WR,UMASS,5,8.7,8,65.5,85.7,6,7,0,7.7,3,18,216,0,68.5,74.8,71.8,0,71.7,0.6,1,0,50,0,0,160,0,36,96.9,155,16.3,26,83.8,55,0,83.1,133,358,132,3.7,9.9,2.31,Massachusetts,216,Massachusetts,1035,860,38,1157,228,24,83,608,36,50,130,979,365,395,955,316,617,513,456,210,952,952,232,588,19,344,170,1028,508,1137,9,752,461,115,93,184,1239,991,325,1
O'Mega Blake,146913,WR,ARKANSAS,6,11.8,8,64.8,50,6,12,0,2.8,1,25,111,0,83.4,72.6,77,0,77.6,0,0,3,33,0,0,214,1,35,94.9,203,7,15,87.3,54,3,93,199,464,168,4.8,13.3,2.29,Arkansas,111,Arkansas,100,524,38,1171,395,24,13,794,299,11,130,101,447,189,955,137,646,646,5,534,952,952,50,178,23,558,43,1494,722,1073,10,69,209,20,36,88,990,531,333,1
Lewis Bond,143817,WR,BOSTON COL,6,6,8,81.5,100,2,2,0,2.2,1,20,121,0,85.9,73.9,67.7,0,68,0,0,0,32,0,0,231,0,44,96.1,222,65.4,151,99,54,0,34.2,79,419,220,5,9.5,1.89,Boston College,121,Boston College,100,1149,38,595,1,204,505,801,299,34,130,51,403,637,955,489,646,646,456,563,952,952,28,588,7,416,17,345,31,781,10,752,756,281,48,29,928,1036,488,1
CJ Williams,158471,WR,STANFORD,6,10.6,6,66,61.5,8,13,0,5.4,2,23,300,0,75.6,72.4,73.7,0,74.2,0,0,0,36,0,0,210,1,35,94.8,199,13.3,28,95.2,53,1,86.7,182,404,86,2.5,11.5,2.03,Stanford,300,Stanford,100,636,88,1148,352,6,7,715,108,22,130,501,456,309,955,232,646,646,456,454,952,952,52,178,23,574,46,1141,489,890,12,330,377,32,59,364,1473,748,435,1
Ian Strong,170319,WR,RUTGERS,5,11.7,7,67.9,60,12,20,0,0,0,29,278,0,90.4,72.4,81.3,0,81.4,0,0,1,43,0,0,230,0,36,94.3,217,0,0,105.6,53,2,100,230,537,133,3.7,14.9,2.47,Rutgers,278,Rutgers,1035,532,61,1024,354,1,1,805,805,4,130,2,456,79,955,81,646,646,110,327,952,952,31,588,19,652,29,1813,1813,655,12,154,1,6,12,182,1239,382,283,1
Chase Hendricks,171348,WR,OHIO,6,11.9,3,69.8,61.5,8,13,0,2.6,1,25,259,1,83.8,46.5,82.2,0,84.9,0,0,1,67,0,0,208,1,37,94.7,197,95.2,198,123.5,53,4,4.8,10,585,186,5,15.8,2.97,Ohio,259,Ohio,100,514,265,957,352,6,7,795,299,11,10,92,1747,66,955,42,646,646,110,78,952,952,56,178,16,585,50,98,8,296,12,32,1383,824,6,60,928,307,179,1
Camden Brown,157049,WR,GA SOUTHRN,6,15.2,6,63.5,66.7,10,15,0,2.9,1,25,174,0,82.2,72.2,79.1,0,81.5,0,0,1,44,0,0,228,3,33,97.4,222,18.9,43,130.2,52,6,81.1,185,559,128,3.9,16.9,2.52,Georgia Southern,174,Georgia Southern,100,244,88,1204,274,2,4,792,299,11,130,135,466,128,955,80,646,646,110,304,952,952,32,15,30,302,17,949,331,236,15,7,490,29,8,192,1198,239,270,1
Jayce Brown,173093,WR,KANSAS ST,7,13.4,1,61.5,37.5,3,8,1,11.1,4,14,199,0,58.4,73.1,70.6,0,67.7,0,0,0,48,0,0,185,1,32,97.3,180,70.8,131,106,52,3,29.2,54,417,92,2.9,13,2.32,Kansas State,199,Kansas State,1,371,603,1261,611,106,59,447,14,131,130,1440,428,461,955,509,646,646,456,240,952,952,118,178,32,308,85,307,55,649,15,69,787,364,49,334,1418,558,324,1890
Jacob De Jesus,174068,WR,CAL,6,8.3,8,65.4,37.5,3,8,0,8.1,3,17,130,0,68,63.3,64.7,61,66.6,1.9,4,2,30,0.5,1,209,0,34,93.3,195,67.5,141,77.5,52,2,25.4,53,301,162,4.8,8.9,1.54,California,130,California,100,903,38,1158,611,106,59,601,36,70,130,986,1358,857,561,575,532,426,25,611,937,818,54,588,28,772,52,329,42,1341,15,154,810,368,158,101,990,1133,692,1
Beau Sparks,173021,WR,TEXAS ST,6,12.2,7,73.1,44.4,4,9,0,2.6,1,18,314,1,83.8,50.4,76.7,0,75.9,0,0,0,73,0,0,187,0,38,93.6,175,40.1,75,135.7,52,5,59.4,111,507,210,5.5,13.3,2.9,Texas State,0,Texas State,100,490,61,855,557,58,45,795,299,50,10,92,1735,204,955,188,646,646,456,44,952,952,107,588,14,742,98,542,180,185,15,16,687,175,18,38,833,531,188,1
Elijah Sarratt,159499,WR,INDIANA,6,9.8,7,75,27.3,3,11,0,4.9,2,31,190,0,77.1,72.8,88.9,0,88.9,0,0,0,49,0,0,180,0,39,95,171,12.2,22,146.9,52,7,87.8,158,533,223,5.7,13.7,3.12,Indiana,190,Indiana,100,737,61,757,703,106,23,739,108,1,130,406,438,13,955,16,646,646,456,225,952,952,136,588,11,541,110,1196,574,98,15,2,352,67,14,25,797,493,149,1
Devin Voisin,97427,WR,S ALABAMA,6,11,6,72.5,80,4,5,1,2.6,1,21,288,0,83.6,78.7,78.4,0,81.4,0.6,1,2,65,0,0,175,2,37,93.7,164,31.4,55,113.3,51,4,67.4,118,501,183,4.9,13.5,3.05,South Alabama,288,South Alabama,100,589,88,884,239,58,175,795,299,28,130,99,219,142,955,81,617,513,25,87,952,952,162,44,16,732,134,678,260,516,20,32,633,156,22,61,979,508,156,1890
Devin McCuin,176494,WR,UTSA,6,9.9,11,60.8,57.1,4,7,0,6.1,2,20,331,0,74.1,75.9,71.6,0,72.6,0,0,2,52,0,0,195,3,31,92.8,181,29.2,57,90.4,51,4,70.8,138,341,196,6.3,11,1.88,UTSA,331,UTSA,100,724,12,1280,381,58,83,690,108,34,130,599,321,405,955,277,646,646,25,185,952,952,88,15,41,843,82,720,251,990,20,32,612,98,112,46,673,796,495,1
Jeremiah Smith,183710,WR,OHIO STATE,6,9,7,78.4,28.6,2,7,2,4.8,2,25,260,0,77.6,74.5,82.3,0,82,0,0,0,87,0,0,159,3,40,95.6,152,15.1,24,147.5,51,7,84.9,135,505,214,5.4,12.6,3.32,Ohio State,260,Ohio State,100,815,61,692,696,204,83,740,108,11,130,344,373,64,955,73,646,646,456,3,952,952,238,15,9,474,181,1061,525,92,20,2,430,108,20,35,862,623,130,1973
