player,player_id,position,team_name,2025 Team,Team,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts,rank_player_game_count,rank_attempts,rank_avoided_tackles,rank_breakaway_attempts,rank_breakaway_percent,rank_breakaway_yards,rank_designed_yards,rank_drops,rank_elu_recv_mtf,rank_elu_rush_mtf,rank_elu_yco,rank_elusive_rating,rank_explosive,rank_first_downs,rank_gap_attempts,rank_grades_hands_fumble,rank_grades_offense,rank_grades_offense_penalty,rank_grades_pass,rank_grades_pass_block,rank_grades_pass_route,rank_grades_run,rank_grades_run_block,rank_longest,rank_rec_yards,rank_receptions,rank_routes,rank_run_plays,rank_scramble_yards,rank_scrambles,rank_targets,rank_total_touches,rank_touchdowns,rank_yards,rank_yards_after_contact,rank_yco_attempt,rank_ypa,rank_yprr,rank_zone_attempts,rank_declined_penalties,rank_fumbles,rank_penalties
Cam Cook,173133,HB,JVILLE ST,Jacksonville State,Jacksonville State,5,110,41,10,32.4,199,0,614,1,5,41,403,139.3,23,37,196,2,23,62.6,78.3,84.2,0,67.3,61.8,80,58.2,31,0,125,11,106,171,0,0,16,121,5,614,403,3.66,5.6,1.18,86,4,1,2,2,355,23,3,80,42,2,3,154,1,2,81,993,174,24,334,275,403,80,876,238,134,151,73,10,246,251,133,1,24,3,3,315,425,347,1,1,1196,1
Ahmad Hardy,190013,HB,MISSOURI,Missouri,Missouri,5,104,48,12,47.5,347,0,731,0,0,48,551,242.2,21,39,229,1,42,73.6,92.5,84.4,0,71.9,51.8,92.4,54.9,71,0,2,1,50,114,0,0,1,105,9,731,551,5.3,7,0.04,61,4,2,1,1,206,2,1,264,415,1,1,70,3,1,13,426,6,14,334,185,823,1,1019,37,662,580,282,108,246,251,613,6,1,1,1,120,218,677,7,1,1008,1
Kewan Lacy,190221,HB,OLE MISS,Ole Miss,Ole Miss,5,102,33,7,36.9,164,0,445,2,1,33,304,89.7,11,33,226,0,50,87.7,75.9,83.9,0,68.4,54.4,78.1,62.6,42,0,68,11,92,155,0,0,14,113,8,445,304,2.98,4.4,0.74,52,4,3,3,16,310,38,15,18,257,3,14,306,33,4,6,2,264,37,334,249,762,125,163,155,235,151,113,24,246,251,154,3,4,16,14,545,674,489,13,1,1,1
Dominic Richardson,122985,HB,TULSA,Tulsa,Tulsa,5,99,22,6,36.3,178,0,490,1,0,22,353,72,9,20,320,1,23,73.5,71,83.4,0,37.7,55.3,73.6,65.8,57,0,58,10,87,118,0,0,14,109,2,490,353,3.57,4.9,0.67,76,4,4,10,27,316,31,11,80,415,10,8,377,58,38,81,433,445,66,334,471,719,252,120,77,272,172,125,99,246,251,154,5,148,11,8,338,567,506,3,1,1008,1
Hollywood Smothers,173719,HB,NC STATE,North Carolina State,North Carolina State,5,96,28,9,49.3,281,0,570,0,11,28,379,133.9,17,21,248,0,44,87.1,79,83.1,0,40.3,68.4,81.2,64.8,57,0,94,19,100,122,0,0,20,115,4,570,379,3.95,5.9,0.94,45,4,5,6,4,195,5,4,264,3,6,5,160,4,31,9,3,154,87,334,456,211,62,131,77,185,43,96,81,246,251,94,2,47,4,5,264,369,431,17,1,1,1
Al-Jay Henderson,145676,HB,BUFFALO,Buffalo,Buffalo,5,96,19,2,18.1,60,1,332,1,5,19,266,59.4,3,24,126,2,18,73.2,68.9,82.6,0,50.2,73.1,68.3,58,38,1,133,16,86,123,0,0,18,112,4,332,266,2.77,3.5,1.55,78,4,5,20,178,488,214,57,80,42,20,25,446,327,15,135,450,568,127,334,398,127,480,892,179,123,66,129,79,246,251,111,4,47,65,27,607,869,257,2,1280,1196,1081
Bryson Washington,174649,HB,BAYLOR,Baylor,Baylor,5,93,21,8,36.4,179,0,492,0,0,21,322,71.3,13,30,118,1,32,72,72.9,83.3,0,57.3,55.7,75.8,59,41,0,41,9,105,97,0,0,13,102,5,492,322,3.46,5.3,0.39,57,4,7,15,7,315,30,10,264,415,15,11,382,19,5,35,515,364,73,334,357,704,186,808,158,351,191,80,166,246,251,170,7,24,10,11,374,471,596,10,1,1008,1
Cam Edwards,158615,HB,UCONN,Connecticut,Connecticut,5,88,10,8,57.1,310,0,543,1,1,10,299,40.6,10,24,146,0,19,86.5,72.3,84,0,57.3,51,75.8,54,73,0,56,4,88,103,0,0,5,92,6,543,299,3.4,6.2,0.64,65,4,8,126,7,131,4,5,80,257,103,15,609,49,15,117,4,384,31,334,357,830,186,1038,32,279,371,123,147,246,251,381,10,14,5,15,391,313,519,5,1,1,1
Anthony Hankerson,157691,HB,OREGON ST,Oregon State,Oregon State,5,87,13,4,27.4,83,0,303,2,2,13,217,40.7,8,18,265,1,33,71.1,58.2,83.7,0,72.5,42.5,60.8,67,26,0,35,5,101,106,0,0,14,92,2,303,217,2.49,3.5,0.35,54,4,9,70,78,401,147,73,18,167,60,50,608,92,59,33,574,1092,49,334,179,891,925,100,297,378,310,90,136,246,251,154,10,148,82,55,713,869,607,11,1,1008,1
Rashod Dubinion,157020,HB,APP STATE,Appalachian State,Appalachian State,4,87,22,6,26.5,134,0,505,1,2,22,318,93.3,12,26,108,3,51,56.3,79,83,0,71.8,48.8,83.3,60,39,0,44,7,106,96,0,0,11,94,2,505,318,3.66,5.8,0.42,35,312,9,10,27,404,65,9,80,167,10,12,291,24,9,5,1115,154,95,334,188,859,42,313,175,331,234,73,169,246,251,203,9,148,9,12,315,389,592,44,1,1262,1
